"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"CJ Wilcox","2014","21","4.8","2","1.8","42.1","0.9","36.8","0.1","100","0","0.3","0.4","0","0.3","0"
"Carrick Felix","2013","7","5.4","2.7","2","50","0.7","40","0.6","75","0.1","0.7","0.6","0","0.6","0"
"Isaiah Canaan","2013","22","11.5","4.6","4","35.6","2.5","32.7","1.3","72.4","0.3","0.8","1","0.2","1.1","1"
"Glen Rice","2013","11","9.9","2.9","3.4","29.7","1.5","29.4","0.6","71.4","0.4","1.5","0.6","0.1","0.6","0"
"Ray McCallum","2013","45","19.9","6.2","6.7","37.7","1.3","37.3","1","74.4","0.4","1.4","2.7","0.2","1.5","0"
"Tony Mitchell","2013","3","3.3","2","1.7","60","0.3","0","0","0","0.3","0","0.3","0","0","0"
"Jeff Withey","2013","58","11.8","3.3","2.2","53.5","0","0","1.3","71.2","0.8","1.7","0.4","0.9","1.3","1"
"Jamaal Franklin","2013","21","7.7","1.9","1.9","41","0.5","45.5","0.1","100","0.2","0.9","0.3","0.1","1.1","0"
"Ricky Ledo","2013","11","3","1.7","1.5","35.3","0.7","37.5","0.4","100","0","0.2","0.2","0","0.2","0"
"Mike Muscala","2013","20","10.7","3.8","3.7","42.5","0.2","0","0.7","100","0.9","1.8","0.4","0.5","1.5","1"
"Erik Murphy","2013","24","2.6","0.3","0.5","23.1","0.1","0","0","0","0.1","0.3","0.1","0.2","0.3","0"
"Peyton Siva","2013","24","9.3","2.3","2.4","31.6","1","28","0.6","73.3","0.1","0.5","1.4","0","1.1","0"
"Victor Oladipo","2013","80","31.1","13.8","11.7","41.9","2.8","32.7","4","78","0.5","3.6","4.1","0.5","2.6","1"
"Cody Zeller","2013","82","17.3","6","4.9","42.6","0","0","2.4","73","1.4","2.9","1.1","0.5","2.1","1"
"Alex Len","2013","42","8.6","2","1.9","42.3","0","0","0.7","64.5","0.9","1.4","0.1","0.4","1.6","1"
"Ben McLemore","2013","82","26.7","8.8","8.3","37.6","3.6","32","1.7","80.4","0.6","2.2","1","0.2","2.5","1"
"Kentavious Caldwell-Pope","2013","80","19.8","5.9","5.8","39.6","2.3","31.9","0.8","77","0.5","1.5","0.7","0.2","1.8","1"
"Trey Burke","2013","70","32.3","12.8","12.8","38","4.8","33","1.6","90.3","0.5","2.4","5.7","0.1","2.1","1"
"CJ McCollum","2013","38","12.5","5.3","4.7","41.6","2.1","37.5","0.9","67.6","0.2","1.1","0.7","0.1","1.4","1"
"Michael Carter-Williams","2013","70","34.5","16.7","15.1","40.5","3","26.4","5.2","70.3","1.4","4.8","6.3","0.6","3","1"
"Steven Adams","2013","81","14.8","3.3","2.3","50.3","0","0","1.7","58.1","1.8","2.3","0.5","0.7","2.5","1"
"Kelly Olynyk","2013","70","20","8.7","7.2","46.6","1.6","35.1","1.7","81.1","2","3.2","1.6","0.4","3.2","1"
"Giannis Antetokounmpo","2013","77","24.6","6.8","5.4","41.4","1.5","34.7","2.6","68.3","1","3.4","1.9","0.8","2.2","1"
"Dennis Schroder","2013","49","13.1","3.7","3.8","38.3","0.9","23.8","0.9","67.4","0.1","1.1","1.9","0","1.1","1"
"Shane Larkin","2013","48","10.2","2.8","2.9","38","0.8","31.6","0.5","64","0.2","0.6","1.5","0","1","0"
"Sergey Karasev","2013","22","7.1","1.7","1.6","34.3","0.9","21.1","0.5","90","0","0.7","0.3","0","1","0"
"Tony Snell","2013","77","16","4.5","4.4","38.4","2.3","32","0.5","75.6","0.2","1.4","0.9","0.2","1.1","1"
"Gorgui Dieng","2013","60","13.6","4.8","3.8","49.8","0","100","1.6","63.4","1.7","3.3","0.7","0.8","1.8","1"
"Mason Plumlee","2013","70","18.2","7.4","4.3","65.9","0","0","2.8","62.6","1.4","3","0.9","0.8","2.4","1"
"Solomon Hill","2013","28","8.1","1.7","1.4","42.5","0.8","30.4","0.3","85.7","0.3","1.1","0.4","0.1","0.7","1"
"Tim Hardaway Jr","2013","81","23.2","10.2","8.5","42.8","4.4","36.3","1.6","82.8","0.2","1.3","0.8","0.1","1.8","1"
"Reggie Bullock","2013","43","9.2","2.7","2.8","35.5","1.7","30.1","0.2","77.8","0.3","1","0.3","0","0.6","1"
"Andre Roberson","2013","40","10","1.9","1.7","48.5","0.3","15.4","0.3","70","0.9","1.5","0.4","0.3","1.9","1"
"Rudy Gobert","2013","45","9.6","2.3","1.6","48.6","0","0","1.4","49.2","1.1","2.3","0.2","0.9","1.3","1"
"Nemanja Nedovic","2013","24","5.9","1.1","1.6","20.5","0.8","16.7","0.3","87.5","0.1","0.5","0.5","0","0.5","0"
