"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Jarrett Jack","2005","79","20.2","6.7","5.4","44.2","1","26.3","2","80","0.2","1.8","2.8","0","1.7","1"
"Francisco Garcia","2005","67","19.4","5.6","4.9","40","2","28.5","1.5","77.2","0.6","2.2","1.4","0.7","2","1"
"Luther Head","2005","80","28.9","8.8","7.9","40.3","3.9","36.1","1.5","69.9","0.4","2.9","2.7","0.1","2.1","1"
"Dijon Thompson","2005","10","4.3","2.8","2.5","44","1.1","36.4","0.2","100","0.4","0.7","0.1","0.1","0.6","0"
"Johan Petro","2005","68","18.9","5.2","4.4","51","0","0","1.1","62.7","1.6","2.8","0.2","0.8","3.1","1"
"Lawrence Roberts","2005","33","5.5","1.5","1.3","45.5","0.1","0","0.7","47.8","0.8","0.7","0.2","0.1","0.9","0"
"Linas Kleiza","2005","61","8.5","3.5","2.8","44.5","0.2","15.4","1.3","70.4","0.6","1.3","0.2","0.2","1.4","1"
"Wayne Simien","2005","43","9.6","3.4","2.8","48.3","0","0","0.8","88.2","0.9","1.2","0.2","0","1.6","0"
"David Lee","2005","67","16.8","5.1","3.4","59.8","0","0","1.8","57.7","1.6","2.9","0.6","0.3","1.9","1"
"Alex Acker","2005","5","7","1.8","3.2","25","1","20","0","0","0.2","0.8","0.8","0","0.8","0"
"Dwight Howard","2004","82","32.7","12","8.3","52","0","0","5","67.1","3.5","6.5","0.9","1.7","2.8","1"
"Anderson Varejao","2004","54","16.1","4.9","3.6","51.3","0","0","2.4","53.5","2","2.7","0.5","0.7","2.3","1"
"Emeka Okafor","2004","73","35.6","15.1","13.7","44.7","0","0","4.7","60.9","3.8","7.1","0.9","1.7","2.9","1"
"Ben Gordon","2004","82","24.5","15.1","12.9","41.1","4","40.5","3.3","86.3","0.7","2","2","0.1","2.7","1"
"Peter John Ramos","2004","6","3.3","1.8","1.7","50","0","0","0.3","50","0.2","0.5","0","0.2","0.7","0"
"Shaun Livingston","2004","30","27.3","7.4","7.2","41.4","0.1","0","2","74.6","0.7","2.2","5","0.4","2.7","1"
"Devin Harris","2004","76","15.5","5.7","4.8","42.9","1.7","33.6","1.4","75.7","0.4","1","2.2","0.3","1.8","1"
"Donta Smith","2004","38","11.4","3.3","3","38.9","0.6","27.3","1.3","68.8","0.5","0.9","1","0.1","1.3","0"
"Josh Childress","2004","80","29.6","10.1","8","47","0.7","23.2","2.9","82.3","2.4","3.6","1.9","0.4","2.3","1"
"Andre Emmett","2004","8","3.2","0.9","0.8","33.3","0","0","0.6","60","0","0.3","0","0","0.5","0"
"Luol Deng","2004","61","27.2","11.7","10.6","43.4","1.9","26.5","2.7","74.1","1.5","3.8","2.2","0.4","1.6","1"
"Antonio Burks","2004","24","9.1","3","2.5","46.7","0.5","27.3","0.8","73.7","0","0.5","1.2","0","1","0"
"Rafael Araujo","2004","59","12.5","3.3","3","43.4","0.1","33.3","0.9","78.2","1","2.1","0.3","0.1","2.7","0"
"Royal Ivey","2004","62","13.1","3.5","3.2","42.9","0.1","33.3","1.1","70.1","0.3","1","1.7","0.1","2.3","1"
"Andre Iguodala","2004","82","32.7","9","6.7","49.3","1.7","33.1","2.6","74.3","1.1","4.6","3","0.6","2.5","1"
"Chris Duhon","2004","82","26.5","5.9","6","35.2","3.2","35.5","0.8","73.1","0.3","2.3","4.9","0","2.5","1"
"Luke Jackson","2004","10","4.3","2.9","2.7","37","0.6","66.7","0.6","83.3","0.2","0.4","0.3","0","0.4","0"
"Andris Biedrins","2004","30","12.7","3.6","2.6","57.7","0","0","1.3","47.5","1.6","2.4","0.4","0.8","2.9","1"
"Justin Reed","2004","23","5","1.8","1.3","51.7","0.1","0","0.7","73.3","0.3","0.3","0.4","0","0.5","0"
"Sebastian Telfair","2004","68","19.6","6.8","6.3","39.3","1","24.6","2","78.9","0.1","1.4","3.3","0.1","1.8","1"
"Kris Humphries","2004","67","13","4.1","4.3","40.4","0.1","33.3","1.5","43.6","1.1","1.9","0.6","0.3","1.4","1"
"Trevor Ariza","2004","80","17.3","5.9","4.9","44.2","0.2","23.1","2.2","69.5","1.1","1.9","1.1","0.2","1.9","1"
"Al Jefferson","2004","71","14.7","6.7","5.2","52.8","0","0","1.9","63","1.7","2.7","0.3","0.8","2.7","1"
"Bernard Robinson","2004","31","10.6","3","2.6","44.4","0.3","37.5","0.8","69.2","0.5","1.1","1","0.1","1.4","0"
"Josh Smith","2004","74","27.7","9.7","8.1","45.5","0.3","17.4","3.2","68.8","2","4.2","1.7","1.9","2.1","1"
"Ha Seung Jin","2004","19","5.3","1.4","1.2","43.5","0","0","0.6","54.5","0.3","0.6","0.1","0.3","1.1","0"
"JR Smith","2004","76","24.5","10.3","9.8","39.4","3.7","28.8","2.1","68.9","0.5","1.5","1.9","0.1","1.8","1"
"Pape Sow","2004","27","9.3","2.3","2.1","39.7","0","0","1","59.3","0.7","1.4","0.1","0.1","1.7","0"
"Jameer Nelson","2004","79","20.4","8.7","7.9","45.5","1.8","31.2","1.4","68.2","0.7","1.8","3","0","2.5","1"
"Pavel Podkolzin","2004","5","1.5","0.2","0","0","0","0","0.4","50","0","0.4","0","0","0.8","0"
"Viktor Khryapa","2004","32","16.5","4.2","3.9","43.5","0.3","36.4","1.3","54.8","0.9","2.5","0.8","0.6","2.5","0"
"Delonte West","2004","39","12.9","4.5","4","42.6","1.7","35.8","0.7","70.4","0.4","1.3","1.4","0.2","1.8","1"
"Matt Freije","2004","23","19","4","5.5","29.1","2.3","25.9","0.3","62.5","0.7","2","0.9","0.1","1.7","0"
"Tony Allen","2004","77","16.3","6.4","5","47.5","0.4","38.7","2","73.7","1.1","1.8","0.8","0.3","2","1"
"Kevin Martin","2004","45","10.2","2.9","2.6","38.5","0.6","20","1.2","65.5","0.6","0.6","0.5","0.1","0.8","1"
"Luis Flores","2004","16","4.6","2.2","1.8","48.3","0.6","50","0.1","100","0.1","0.1","0.7","0","0.6","0"
"Sasha Vujacic","2004","35","11.5","2.9","3.3","28.2","1.8","27","0.5","94.7","0.4","1.4","1.5","0.1","1.2","1"
"Beno Udrih","2004","80","14.4","5.9","4.9","44.4","1.8","40.8","1.1","75.3","0.2","0.8","1.9","0.1","1.2","1"
"LeBron James","2003","79","39.6","20.9","18.9","41.7","2.7","29","5.8","75.4","1.3","4.2","5.9","0.7","1.9","1"
"Maciej Lampe","2003","21","10.7","4.6","4.2","48.9","0.2","0","0.6","76.9","0.4","1.7","0.4","0.1","1.3","0"
"Darko Milicic","2003","34","4.7","1.4","1.9","26.2","0","0","0.7","58.3","0.3","0.9","0.2","0.4","1","1"
"Jason Kapono","2003","41","10.3","3.5","3.1","40.3","1.1","47.7","0.6","83.3","0.5","0.9","0.3","0","1","1"
"Carmelo Anthony","2003","82","36.5","21","17.9","42.6","2.6","32.2","6.4","77.7","2.2","3.8","2.8","0.5","2.7","1"
"Luke Walton","2003","72","10","2.4","2.1","42.5","0.5","33.3","0.6","70.5","0.5","1.2","1.6","0.1","1","1"
"Chris Bosh","2003","75","33.6","11.5","9.5","45.9","0.2","35.7","3.8","70.1","2.5","4.9","1","1.4","2.9","1"
"Jerome Beasley","2003","2","2.6","1","1.5","33.3","0","0","0","0","0","0.5","0","0","0","0"
"Dwyane Wade","2003","61","35","16.2","13.1","46.5","0.9","30.2","5.1","74.7","1.4","2.7","4.5","0.6","2.3","1"
"Chris Kaman","2003","82","22.6","6.1","5.3","46","0","0","1.7","69.7","1.5","4.1","1","0.9","2.6","1"
"Kirk Hinrich","2003","76","35.6","12","10.8","38.6","4.9","39","2.2","80.4","0.6","2.9","6.8","0.3","3.6","1"
"TJ Ford","2003","55","27","7.1","7.2","38.4","0.4","23.8","1.8","81.6","0.7","2.5","6.5","0.1","2.2","1"
"Michael Sweetney","2003","42","11.8","4.3","3.3","49.3","0","0","1.4","72.4","1.6","2.1","0.3","0.3","1.4","0"
"Mickael Pietrus","2003","53","14.2","5.3","4.4","41.6","2","33.3","1.4","69.3","0.9","1.3","0.5","0.2","1.9","1"
"Marcus Banks","2003","81","17","5.9","5.5","40","1.1","31.4","1.6","75.6","0.4","1.3","2.2","0.2","2.1","1"
"Luke Ridnour","2003","69","16.1","5.5","5.1","41.4","1.2","33.8","1.1","82.3","0.5","1.1","2.4","0.1","1.5","1"
"Reece Gaines","2003","38","9.3","1.8","2.3","29.1","0.3","30","0.7","64","0.2","0.8","1.1","0.1","0.6","0"
"Troy Bell","2003","6","5.8","1.8","3","22.2","0.7","0","0.5","100","0.5","0.2","0.7","0","1","0"
"Zarko Cabarkapa","2003","49","11.7","4.1","4","41.1","0.7","18.8","1.1","66","0.5","1.5","0.8","0.3","1.5","0"
"David West","2003","71","13.1","3.8","3.2","47.4","0","0","1.1","71.3","1.6","2.5","0.8","0.4","1.6","1"
"Sasha Pavlovic","2003","79","14.4","4.8","4.8","39.6","0.9","27.1","1.1","77.4","0.6","1.5","0.8","0.2","2.4","1"
"Boris Diaw","2003","76","25.2","4.5","4.1","44.7","0.3","23.1","1.2","60.2","1.5","3","2.4","0.5","2.5","1"
"Zoran Planinic","2003","49","9.5","3.1","2.6","41.1","0.7","28.1","1.2","63.3","0.3","0.8","1.4","0.1","1.4","0"
"Brian Cook","2003","35","12.5","4.4","4","47.5","0.1","0","0.8","75","0.9","2","0.6","0.5","1.8","1"
"Ndudi Ebi","2003","17","1.9","0.8","0.8","42.9","0","0","0.2","25","0.1","0.1","0.2","0.2","0.4","0"
"Leandro Barbosa","2003","70","21.4","7.9","6.7","44.7","3","39.5","0.9","77","0.3","1.4","2.4","0.1","2.6","1"
"Josh Howard","2003","67","23.7","8.6","7.9","43","1","30.3","2.1","70.3","2.2","3.3","1.4","0.8","2.5","1"
"Steve Blake","2003","75","18.5","5.9","5.4","38.6","2.7","37.1","0.9","82.1","0.2","1.3","2.8","0.1","1.3","1"
"Slavko Vranes","2003","1","2.8","0","1","0","0","0","0","0","0","0","0","0","1","0"
"Willie Green","2003","53","14.5","6.9","6.7","40.1","1.2","31.1","1.5","72.8","0.3","0.9","1","0.1","1.6","1"
"Zaza Pachulia","2003","59","11.2","3.3","3","38.9","0","0","1.5","64.4","1.2","1.8","0.2","0.2","1.5","1"
"Keith Bogans","2003","73","24.5","6.8","6.2","40.3","2.6","35.8","1.4","63.1","1.5","2.9","1.3","0.1","1.8","1"
"Mo Williams","2003","57","13.6","5","5.3","38","0.7","25.6","1","78.6","0.4","0.9","1.3","0","1.5","1"
"Kyle Korver","2003","74","11.6","4.5","4.4","35.2","2.8","39.1","0.3","79.2","0.4","1.1","0.5","0.1","1.4","1"
"Brandon Hunter","2003","36","11.2","3.5","3.2","45.7","0.1","0","1.2","44.2","1.4","1.9","0.5","0","1.1","0"
